ENTIDAD_RES,FECHA_DEF,defunciones,fecha_defuncion,ENTIDAD,CLAVE_ENTIDAD
2,2020-09-18,12,2020-09-18,Baja California,2
2,2020-09-19,12,2020-09-19,Baja California,2
2,2020-09-20,9,2020-09-20,Baja California,2
2,2020-09-21,6,2020-09-21,Baja California,2
2,2020-09-22,10,2020-09-22,Baja California,2
2,2020-09-23,10,2020-09-23,Baja California,2
2,2020-09-24,19,2020-09-24,Baja California,2
2,2020-09-25,10,2020-09-25,Baja California,2
2,2020-09-26,5,2020-09-26,Baja California,2
2,2020-09-27,11,2020-09-27,Baja California,2
2,2020-09-28,10,2020-09-28,Baja California,2
2,2020-09-29,7,2020-09-29,Baja California,2
2,2020-09-30,11,2020-09-30,Baja California,2
2,2020-10-01,6,2020-10-01,Baja California,2
2,2020-10-02,5,2020-10-02,Baja California,2
2,2020-10-03,7,2020-10-03,Baja California,2
2,2020-10-04,7,2020-10-04,Baja California,2
2,2020-10-05,11,2020-10-05,Baja California,2
2,2020-10-06,13,2020-10-06,Baja California,2
2,2020-10-07,4,2020-10-07,Baja California,2
2,2020-10-08,8,2020-10-08,Baja California,2
2,2020-10-09,9,2020-10-09,Baja California,2
2,2020-10-10,8,2020-10-10,Baja California,2
2,2020-10-11,8,2020-10-11,Baja California,2
2,2020-10-12,15,2020-10-12,Baja California,2
2,2020-10-13,7,2020-10-13,Baja California,2
2,2020-10-14,10,2020-10-14,Baja California,2
2,2020-10-15,5,2020-10-15,Baja California,2
2,2020-10-16,10,2020-10-16,Baja California,2
2,2020-10-17,6,2020-10-17,Baja California,2
2,2020-10-18,11,2020-10-18,Baja California,2
2,2020-10-19,10,2020-10-19,Baja California,2
2,2020-10-20,10,2020-10-20,Baja California,2
2,2020-10-21,11,2020-10-21,Baja California,2
2,2020-10-22,8,2020-10-22,Baja California,2
2,2020-10-23,14,2020-10-23,Baja California,2
2,2020-10-24,7,2020-10-24,Baja California,2
2,2020-10-25,17,2020-10-25,Baja California,2
2,2020-10-26,15,2020-10-26,Baja California,2
2,2020-10-27,8,2020-10-27,Baja California,2
2,2020-10-28,13,2020-10-28,Baja California,2
2,2020-10-29,9,2020-10-29,Baja California,2
2,2020-10-30,8,2020-10-30,Baja California,2
2,2020-10-31,13,2020-10-31,Baja California,2
2,2020-11-01,19,2020-11-01,Baja California,2
2,2020-11-02,20,2020-11-02,Baja California,2
2,2020-11-03,8,2020-11-03,Baja California,2
2,2020-11-04,15,2020-11-04,Baja California,2
2,2020-11-05,17,2020-11-05,Baja California,2
2,2020-11-06,15,2020-11-06,Baja California,2
2,2020-11-07,9,2020-11-07,Baja California,2
2,2020-11-08,17,2020-11-08,Baja California,2
2,2020-11-09,13,2020-11-09,Baja California,2
2,2020-11-10,15,2020-11-10,Baja California,2
